epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.0451,1.88439,2.74254,2.01984,0.19061,0.19189,0.00642,0.00082,2.77687,inf,4.04838,0.000470981,0.000470981,0.000470981
2,141.178,2.12216,2.57311,2.20158,0.43908,0.15134,0.08481,0.03618,3.2653,32.4527,5.08949,0.000928558,0.000928558,0.000928558
3,211.022,2.09817,2.58782,2.21706,0.14403,0.23908,0.13679,0.05753,3.2124,8.35639,4.121,0.00136727,0.00136727,0.00136727
4,280.616,2.09096,2.57838,2.16866,0.8382,0.20833,0.23743,0.11094,2.54954,6.4274,2.99304,0.00134412,0.00134412,0.00134412
5,350.26,1.95498,2.35506,2.0899,0.38902,0.30049,0.26596,0.11883,2.8649,3.70128,3.03459,0.00131582,0.00131582,0.00131582
6,419.983,1.94333,2.2369,2.02191,0.51809,0.39661,0.41621,0.19211,2.14947,3.13053,2.38387,0.00128753,0.00128753,0.00128753
7,489.707,1.84797,2.04511,1.93988,0.5583,0.41367,0.41725,0.19819,2.18039,2.55546,2.42393,0.00125923,0.00125923,0.00125923
8,559.282,1.79035,1.92786,1.87563,0.61262,0.43291,0.50717,0.25592,2.1755,2.30658,2.38499,0.00123094,0.00123094,0.00123094
9,629.63,1.77044,1.90361,1.8797,0.68379,0.56003,0.63474,0.32875,1.97508,1.7869,2.19428,0.00120265,0.00120265,0.00120265
10,699.333,1.76586,1.86546,1.84073,0.73665,0.60262,0.68163,0.35979,1.8636,1.72755,2.03096,0.00117435,0.00117435,0.00117435
11,768.99,1.67597,1.72101,1.78943,0.60948,0.5806,0.59965,0.32621,1.85279,1.79626,2.05047,0.00114606,0.00114606,0.00114606
12,838.566,1.66053,1.65898,1.76733,0.66273,0.6629,0.67395,0.37558,1.76148,1.58709,1.94878,0.00111776,0.00111776,0.00111776
13,908.411,1.64535,1.64382,1.75992,0.75148,0.57041,0.65774,0.36169,1.92954,1.78369,2.13844,0.00108947,0.00108947,0.00108947
14,977.839,1.6345,1.57742,1.74396,0.75352,0.67945,0.7341,0.41703,1.75844,1.52738,1.97679,0.00106118,0.00106118,0.00106118
15,1047.38,1.60587,1.50899,1.70693,0.68224,0.63891,0.68069,0.37817,1.88151,1.45829,2.04549,0.00103288,0.00103288,0.00103288
16,1116.68,1.59328,1.46916,1.68542,0.78757,0.59276,0.702,0.38132,1.80561,1.50012,1.95189,0.00100459,0.00100459,0.00100459
17,1185.97,1.5751,1.45936,1.6953,0.68508,0.63775,0.68943,0.34554,1.98253,1.58025,2.13211,0.000976293,0.000976293,0.000976293
18,1255.29,1.53886,1.45797,1.66494,0.76484,0.70757,0.75653,0.44384,1.72185,1.29146,1.90779,0.000947999,0.000947999,0.000947999
19,1324.73,1.50896,1.37313,1.6444,0.61803,0.6936,0.69609,0.40769,1.80074,1.44104,2.05092,0.000919704,0.000919704,0.000919704
20,1393.96,1.53211,1.36086,1.65767,0.72994,0.76153,0.78622,0.45862,1.67601,1.17733,1.88469,0.00089141,0.00089141,0.00089141
21,1463.41,1.47096,1.28841,1.59477,0.71331,0.79377,0.79966,0.47454,1.76689,1.12441,1.98443,0.000863116,0.000863116,0.000863116
22,1532.9,1.47818,1.27596,1.59008,0.7535,0.76766,0.81749,0.47776,1.62036,1.12944,1.80705,0.000834822,0.000834822,0.000834822
23,1602.38,1.46782,1.26792,1.58547,0.73473,0.74328,0.77243,0.45794,1.70611,1.17262,1.88989,0.000806528,0.000806528,0.000806528
24,1671.79,1.44969,1.23432,1.57605,0.82658,0.74114,0.79629,0.48125,1.658,1.15076,1.84827,0.000778233,0.000778233,0.000778233
25,1741.32,1.4101,1.20938,1.567,0.82995,0.68491,0.78898,0.4944,1.64658,1.08749,1.91289,0.000749939,0.000749939,0.000749939
26,1810.82,1.39603,1.1476,1.53652,0.81352,0.81633,0.84124,0.49498,1.58926,1.0857,1.76807,0.000721645,0.000721645,0.000721645
27,1880.33,1.39098,1.13324,1.53616,0.79494,0.80356,0.83639,0.50733,1.5884,1.0362,1.76938,0.000693351,0.000693351,0.000693351
28,1949.85,1.38276,1.1034,1.52509,0.78514,0.84475,0.85799,0.51157,1.65664,0.99741,1.92761,0.000665057,0.000665057,0.000665057
29,2019.3,1.39612,1.12295,1.53897,0.86317,0.78949,0.84484,0.50882,1.58792,1.03762,1.81759,0.000636762,0.000636762,0.000636762
30,2088.59,1.36007,1.07053,1.51853,0.80527,0.68142,0.79868,0.4965,1.69964,1.14925,1.94417,0.000608468,0.000608468,0.000608468
31,2157.9,1.34721,1.07044,1.50982,0.78675,0.78288,0.83663,0.51834,1.61222,0.99357,1.82335,0.000580174,0.000580174,0.000580174
32,2227.42,1.35103,1.06325,1.50076,0.85017,0.79883,0.85304,0.53763,1.55697,0.96528,1.76042,0.00055188,0.00055188,0.00055188
33,2297.24,1.33054,1.03331,1.49929,0.8023,0.84017,0.85969,0.53473,1.51833,0.95151,1.72159,0.000523586,0.000523586,0.000523586
34,2366.55,1.30302,0.99066,1.46179,0.83725,0.81924,0.86678,0.54308,1.59951,0.97687,1.80203,0.000495291,0.000495291,0.000495291
35,2436.11,1.28543,0.95129,1.44577,0.85059,0.86947,0.8807,0.54189,1.51306,0.89351,1.77897,0.000466997,0.000466997,0.000466997
36,2505.51,1.27878,0.98957,1.46209,0.80582,0.83794,0.82931,0.51799,1.52113,0.96002,1.73963,0.000438703,0.000438703,0.000438703
37,2574.8,1.24441,0.94905,1.43107,0.90113,0.83008,0.88708,0.56495,1.49073,0.88967,1.73907,0.000410409,0.000410409,0.000410409
38,2644.32,1.23093,0.91321,1.42504,0.88563,0.8308,0.878,0.55561,1.56249,0.91197,1.78954,0.000382115,0.000382115,0.000382115
39,2713.61,1.21994,0.92478,1.40875,0.88269,0.83931,0.88239,0.55308,1.5418,0.87879,1.769,0.00035382,0.00035382,0.00035382
40,2782.9,1.26219,0.93627,1.43941,0.89564,0.86653,0.89762,0.56501,1.5432,0.84893,1.78761,0.000325526,0.000325526,0.000325526
41,2853.2,1.19806,0.78174,1.41789,0.90749,0.87258,0.90149,0.5521,1.56721,0.85951,1.75336,0.000297232,0.000297232,0.000297232
