epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6715,1.93419,2.9656,2.10705,0.019,0.24498,0.0131,0.00371,2.91261,11.0907,4.38874,0.000470981,0.000470981,0.000470981
2,176.532,2.27288,2.87631,2.35164,0.00133,0.07115,0.00068,0.00019,3.25025,inf,9.11998,0.000928558,0.000928558,0.000928558
3,263.805,2.17619,2.819,2.29473,0.04782,0.06452,0.04253,0.015,3.46077,14.6418,4.07022,0.00136727,0.00136727,0.00136727
4,351.062,2.13503,2.83635,2.27198,0.05851,0.37195,0.05764,0.02231,2.79846,7.88098,3.25062,0.00134412,0.00134412,0.00134412
5,438.305,2.0513,2.6365,2.16953,0.29321,0.33882,0.17391,0.06894,2.50519,4.72196,2.71466,0.00131582,0.00131582,0.00131582
6,525.671,1.99623,2.48344,2.10296,0.65033,0.27149,0.34093,0.16175,2.21973,3.00109,2.38367,0.00128753,0.00128753,0.00128753
7,613.04,1.90438,2.2815,1.99811,0.58482,0.43389,0.44953,0.2148,2.41458,2.51522,2.56143,0.00125923,0.00125923,0.00125923
8,700.191,1.8533,2.17248,1.96384,0.61786,0.4315,0.4571,0.23831,1.95837,2.38747,2.20061,0.00123094,0.00123094,0.00123094
9,787.304,1.83225,2.14694,1.95359,0.57054,0.54073,0.53602,0.27959,1.95043,2.13149,2.22351,0.00120265,0.00120265,0.00120265
10,874.313,1.82887,2.10963,1.9457,0.49529,0.49554,0.50322,0.25398,1.90438,2.57386,2.10997,0.00117435,0.00117435,0.00117435
11,961.118,1.74807,1.95687,1.89028,0.61004,0.41859,0.47069,0.25311,2.03518,2.23142,2.36577,0.00114606,0.00114606,0.00114606
12,1048.07,1.71082,1.89548,1.84714,0.77351,0.51546,0.64019,0.33283,1.87931,1.97464,2.0916,0.00111776,0.00111776,0.00111776
13,1135.12,1.71564,1.80938,1.85144,0.47034,0.60705,0.58988,0.28655,1.92641,2.10164,2.14875,0.00108947,0.00108947,0.00108947
14,1221.89,1.69103,1.80303,1.83578,0.67481,0.57482,0.61594,0.35357,1.89335,1.78,2.13242,0.00106118,0.00106118,0.00106118
15,1309,1.65845,1.70501,1.79424,0.55252,0.67585,0.68327,0.37575,1.83869,1.63813,2.07046,0.00103288,0.00103288,0.00103288
16,1395.97,1.66228,1.64597,1.77965,0.73164,0.58339,0.68777,0.38951,1.88436,1.51415,2.11468,0.00100459,0.00100459,0.00100459
17,1483.07,1.63804,1.61977,1.76352,0.73687,0.66107,0.70574,0.37284,1.83207,1.54883,2.02234,0.000976293,0.000976293,0.000976293
18,1569.84,1.5921,1.64132,1.73284,0.79115,0.61662,0.73898,0.40574,1.75351,1.48235,1.997,0.000947999,0.000947999,0.000947999
19,1656.93,1.58689,1.57026,1.72776,0.72513,0.62178,0.7028,0.41421,1.80346,1.60338,2.04476,0.000919704,0.000919704,0.000919704
20,1744.03,1.58217,1.52942,1.7053,0.77373,0.67465,0.74958,0.42749,1.71682,1.39592,1.95558,0.00089141,0.00089141,0.00089141
21,1831.1,1.54952,1.46138,1.6856,0.75497,0.68056,0.76194,0.43879,1.67747,1.31591,1.91374,0.000863116,0.000863116,0.000863116
22,1918.08,1.52888,1.41242,1.67142,0.76351,0.72546,0.7725,0.43024,1.64936,1.33243,1.87736,0.000834822,0.000834822,0.000834822
23,2005.02,1.52471,1.39494,1.65479,0.70416,0.79216,0.80259,0.47492,1.66652,1.23994,1.8435,0.000806528,0.000806528,0.000806528
24,2092.06,1.52801,1.37985,1.66903,0.75647,0.71439,0.77769,0.47471,1.60356,1.20099,1.83266,0.000778233,0.000778233,0.000778233
25,2178.9,1.47114,1.3504,1.63883,0.76037,0.72755,0.76374,0.4434,1.64857,1.27403,1.83698,0.000749939,0.000749939,0.000749939
26,2265.7,1.48014,1.30668,1.62075,0.72676,0.74362,0.76544,0.42695,1.77374,1.25589,1.96233,0.000721645,0.000721645,0.000721645
27,2352.59,1.48501,1.3071,1.62783,0.84317,0.72127,0.82633,0.48254,1.63413,1.17774,1.85785,0.000693351,0.000693351,0.000693351
28,2439.59,1.47144,1.26785,1.60984,0.80883,0.70784,0.80889,0.47189,1.67521,1.24401,1.90817,0.000665057,0.000665057,0.000665057
29,2526.47,1.46658,1.25172,1.61853,0.77251,0.75771,0.80177,0.47492,1.6152,1.16027,1.82705,0.000636762,0.000636762,0.000636762
30,2613.28,1.4165,1.21265,1.58642,0.73589,0.73985,0.78908,0.47409,1.6169,1.22035,1.8255,0.000608468,0.000608468,0.000608468
31,2700.09,1.41342,1.20079,1.57725,0.83555,0.79699,0.86799,0.52069,1.58177,1.0637,1.79896,0.000580174,0.000580174,0.000580174
32,2787.11,1.4269,1.20361,1.57921,0.81484,0.83234,0.86849,0.53199,1.58555,1.03231,1.8499,0.00055188,0.00055188,0.00055188
33,2874.21,1.38736,1.18727,1.56416,0.83481,0.80646,0.84404,0.51042,1.62198,1.06205,1.83607,0.000523586,0.000523586,0.000523586
34,2961.07,1.38427,1.11885,1.54263,0.83457,0.83904,0.86964,0.52397,1.60649,1.03345,1.81273,0.000495291,0.000495291,0.000495291
35,3048.13,1.35316,1.08745,1.52208,0.87033,0.85167,0.87603,0.50924,1.61227,0.96393,1.82322,0.000466997,0.000466997,0.000466997
36,3135.14,1.3377,1.096,1.52759,0.86291,0.83655,0.87299,0.54177,1.56056,0.98522,1.79571,0.000438703,0.000438703,0.000438703
37,3222.22,1.31007,1.04645,1.50086,0.89852,0.82878,0.88935,0.546,1.57928,0.94722,1.84005,0.000410409,0.000410409,0.000410409
38,3309.32,1.29468,1.02667,1.49062,0.80139,0.83643,0.86237,0.53783,1.53348,0.99326,1.79258,0.000382115,0.000382115,0.000382115
39,3396.31,1.28748,1.04276,1.48583,0.85021,0.84253,0.88769,0.53883,1.59075,0.92906,1.81807,0.00035382,0.00035382,0.00035382
40,3483.31,1.32006,1.0423,1.51045,0.87048,0.8611,0.89748,0.5609,1.54599,0.87459,1.77029,0.000325526,0.000325526,0.000325526
41,3571.38,1.24312,0.8488,1.47521,0.86192,0.88732,0.9089,0.57795,1.49801,0.8369,1.72825,0.000297232,0.000297232,0.000297232
42,3658.52,1.2198,0.76696,1.45272,0.86543,0.86103,0.89864,0.5736,1.54829,0.83481,1.8067,0.000268938,0.000268938,0.000268938
